Violation County,Violation count,County Name
BK,2190805,Brooklyn
BRONX,152681,Bronx
BX,2084906,Bronx
K,2042847,Brooklyn
K   F,1,Brooklyn
KINGS,260958,Brooklyn
MN,728304,Nassau
N,1,Nassau
NY,3452207,New York
Q,1909542,Queens
QN,2673866,Queens
QNS,81755,Queens
QUEEN,9,Queens
R,141921,Richmond
RICH,1490,Richmond
ST,489363,Suffolk
